"Urea Fertilization, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Tennessee","0.07409687550273672","0.06272294402612719","0.06456111125223019","0.06535546499742961","0.06017041712782363","0.05114993147660952","0.05059959551241344","0.05002644724666605","0.04689587964558953","0.04830644894009494","0.047566907254528404","0.044394268952795676","0.038965642384105964","0.04016220980374369","0.04660611485076658","0.04237101140040521","0.03585926553569809","0.037163217756811515","0.045152812241071705","0.03835271595754332","0.03561028346790046","0.04401409586017116","0.07411650379509511","0.10218239523420727","0.1027257617708428","0.08249887568417551","0.09648177471347788","0.09603274346366691","0.09014093891602121","0.08885295274601952","0.08756496657601785","0.08627698040601617","0.08498899423601451"
"Oregon","0.06276159121836161","0.062290074450391614","0.06347053953854064","0.06522965738304756","0.07070616117814267","0.07184408188938281","0.07424674613686534","0.07850500250990353","0.08495553636336145","0.07028242450633525","0.05251280982188757","0.08025063521727298","0.12923623079016602","0.14397548302035137","0.12024922313949618","0.11688877486467689","0.12184316235749493","0.12807635199129094","0.11336514379025674","0.0983257897124195","0.12063369258217668","0.13030982067797636","0.12902974386888025","0.13741587988750795","0.14184538619250658","0.12463611321781728","0.109399765702017","0.11770021315431407","0.10434034563861014","0.09818222982391114","0.09202411400921215","0.08586599819451315","0.0797078823798142"
"Georgia","0.0058777727781305755","0.004568238894432853","0.011365608878405757","0.0174439981856119","0.007789440987027125","0.01241826919471408","0.016279059300250993","0.01639396171641114","0.013265584202727632","0.008966990837340106","0.007836145997762256","0.008740155795457982","0.008121484048504641","0.009597115969639239","0.010409543923311863","0.010436313284344854","0.01247129033233542","0.016194112915419275","0.024715748283891257","0.03596609815839608","0.03773202177265717","0.03015790256735916","0.03188601191448184","0.03293979388551211","0.03428038416643987","0.04202267573860716","0.04575199407299888","0.048066625855030125","0.05300732395802121","0.05706644895061522","0.06112557394321049","0.0651846989358045","0.06924382392839977"
"Michigan","0.07313545640932595","0.06812813426471923","0.06446936575040067","0.06474801245879827","0.0674902081103148","0.06111493955063655","0.05694844730714567","0.058228167528501004","0.061164219178082194","0.0722500836432913","0.08025109957966675","0.07254605679034745","0.07151669575735584","0.07755530956484925","0.08239727345852613","0.07187455284405335","0.07428499549426956","0.08326932474522966","0.08105571719737518","0.05782307587166229","0.05438006955154374","0.061424123741268266","0.06732969838821858","0.07838009168707855","0.06976771405243581","0.07252441404336386","0.07906108778614411","0.06581471168768324","0.06953444942417826","0.06753329892342583","0.0655321484226734","0.06353099792192093","0.0615298474211685"
"Pennsylvania","0.025052279294807824","0.026016484562581266","0.034015935770661344","0.04093832568266353","0.03716312994042759","0.028712981100123984","0.030902078563004632","0.03079282566754362","0.03867360500771116","0.04259575481568841","0.04117449321116453","0.03314154936647616","0.03385732607578094","0.024779918110617194","0.024098617315310412","0.0234136375457377","0.030644648825183706","0.03619607330127914","0.028222565181892405","0.03226092400737852","0.02556874208473192","0.024775575191266743","0.02576866672714627","0.03418602679246424","0.044862841210801654","0.040349628594756416","0.036370101424294664","0.04571670505911886","0.04535957750925867","0.047484231008102486","0.04960888450694629","0.051733538005790114","0.053858191504633904"
"New York","0.019357434697148387","0.022117096495206993","0.0320053197859022","0.035285240436662736","0.03287206350358342","0.021204262481478123","0.018974287822431886","0.02261878750491397","0.034010604251716106","0.03700044875865614","0.029283037164716207","0.027451123529589647","0.021244371949560012","0.021734274275000756","0.024378136865342168","0.02300005830233754","0.02300903420121564","0.01987457340711845","0.018750792464241436","0.01839424996220025","0.022540170552481177","0.023260032054189726","0.027276613747013824","0.034611253681695854","0.036630100456621004","0.04049321237412683","0.040995934561069286","0.042298718292056094","0.04529972243523489","0.04730298340473172","0.049306244374227905","0.05130950534372473","0.05331276631322091"
"Mississippi","0.05776427348876592","0.05234617956394206","0.05307739998185613","0.04659120469321722","0.03772389343493907","0.04365837829991835","0.05907087217635853","0.05067939532492668","0.051725106171943515","0.05199540766276573","0.048727314282258315","0.05220583966857178","0.0567944945417158","0.050549569445704434","0.04536422619371617","0.04998487550273669","0.054479157035289855","0.04659307677885633","0.05491672079591158","0.04950559762919956","0.03761108530648039","0.04415996020442106","0.04738611593939944","0.05027574332456379","0.0494146544497868","0.04899183985001059","0.04960019317185279","0.04966831819528864","0.048952690929757174","0.04879291251512592","0.048633134100494704","0.04847335568586346","0.04831357727123224"
"Virginia","0.010510206779763524","0.011911386373945388","0.018559133206326166","0.02503347195258399","0.018153139435725305","0.015735812513229915","0.015696301793220235","0.016832745592548912","0.01944989736611328","0.023727622365357286","0.023201662100456624","0.01986392766639451","0.021927997217938252","0.02006307526686625","0.016648659832471498","0.015315604463394718","0.01685750981281563","0.019850457165320995","0.020038832622697997","0.017818823792675922","0.018011743082645377","0.01984293422843146","0.01900950219238562","0.021518194079046843","0.024621888536091204","0.027121061658955517","0.02726643902144002","0.029595918292056007","0.03206612609858922","0.03407797730893984","0.036089828519290476","0.03810167972964174","0.04011353093999236"
"California","0.042583153164595246","0.041192580725150446","0.05081883044543228","0.05514356515165261","0.055556328767123284","0.06804377997520338","0.05031804021893616","0.049721264023707995","0.07188046315280172","0.075153170885119","0.08842629266080014","0.10057832785992923","0.12069158220690074","0.13215981118267864","0.12091144382956848","0.09276896319816143","0.09582018470470834","0.12106267428709669","0.10196070543409236","0.07579861066255407","0.09129372911185703","0.08624874305240558","0.07298115370891167","0.09464129898091869","0.08977384704708337","0.08575414388097614","0.07327454425594969","0.06975594891892745","0.06284981403267731","0.05646854514099707","0.05008727624931683","0.04370600735763899","0.03732473846595875"
"Colorado","0.023727414799358918","0.020735651637485263","0.019884263812029394","0.02443890314191539","0.022186168072817442","0.02041993177900753","0.019725909582993136","0.023527746953339986","0.026073895188847562","0.02543957882004294","0.017453350630499867","0.007268103057243943","0.019459244488796153","0.022653686534216337","0.026776616529075575","0.03281639190782908","0.030219424597054644","0.028188189059239775","0.030498212343887023","0.030598456076688138","0.03192569560615682","0.0356905130484744","0.04052721727297469","0.04626330762950195","0.03910807124497264","0.0393410055338837","0.03854778009616257","0.03829962616347641","0.03333900698848423","0.031279805396162604","0.02922060380384098","0.02716140221151936","0.02510220061919773"
