"Field Burning of Agricultural Residues, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Montana","0.007290334632998414","0.009377192981356555","0.008206822199356268","0.014371272059419791","0.008445149878262635","0.009282616575844034","0.008266616808975042","0.008753623934702907","0.009761372362372985","0.007858972554534462","0.007326465740600058","0.006083362374548835","0.00611441399252652","0.007357735988378458","0.00884589051645405","0.009509206153831272","0.007328004670104166","0.00752412496730521","0.00789417600284764","0.00847322169374762","0.01073983164421181","0.009048061457106158","0.009705660825982168","0.0104359990494077","0.011453904856190439","0.010881819462055168","0.010798134556331078","0.010782397380670907","0.010816759602635999","0.01084513185715367","0.010875115038503311","0.010899189890475915","0.010917024063275533"
"Kentucky","0.004805316355906423","0.004892170049402946","0.007471795056483104","0.006041066682341436","0.005802304461779405","0.0054800881817634265","0.006437205546568764","0.007313744996512995","0.006220648289749554","0.006474844732999265","0.007754869307889333","0.0077204334636888665","0.00569577030227312","0.006936885597171229","0.007834305161624451","0.007984170709623569","0.007842508159386774","0.006806324704654392","0.008061921691208397","0.008873374650185182","0.00792630035360633","0.009638486256726793","0.007367120332574389","0.013755964244011586","0.011701590538508996","0.0110093968343158","0.010812203713909065","0.010725078612580926","0.010705568875517582","0.010692937778097926","0.010689236102291513","0.010685449666576344","0.01063448237757683"
"Indiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006383854474249432","0.0035575580951325188","0.005200322170125729","0","0.01219261570201896","0.02091161329923805","0","0.01098951802816981","0.01070793279688143","0.010607812804858511","0.010569161855480732","0.01055149011040627","0.010541127329536134","0.010533450630249406","0.010446581166364982"
"Wisconsin","0.007147017099721731","0.007062214160147337","0.0064582092653464205","0.005635061840979483","0.00801570017458003","0.00678225402636163","0.007017604570179963","0.008921407843353543","0.008130226834589211","0.009024085864074622","0.007851444321601585","0.0072167403765581025","0.008194593314559543","0.007555163757470819","0.007414164313401818","0.0088305225346133","0.008869871158964225","0.01008480812201097","0.009055373749005419","0.009743354694344087","0.010475892344941994","0.010729344635492756","0.009107977951089518","0.010039328367562383","0.010869143832989522","0.009993440337636916","0.009929745179830597","0.00985438798942122","0.009854345915199215","0.009843351608040073","0.009844685342411279","0.009842876711935466","0.00977172705730203"
"South Carolina","0.005034625977997041","0.006333034881827545","0.0075797821912016025","0.0050586818285158625","0.00654521916780817","0.005354949188123741","0.006374406296897183","0.007542981844546951","0.0038829476181575554","0.004635155461397399","0.004983153323828736","0.005265130853228021","0.0033123656855235124","0.006393698466903014","0.005573575820101413","0.005151097911535605","0.0062840833320878435","0.00403607790828422","0.004648852045539639","0.005051311159608375","0.005151681748799075","0.006999066416136358","0.009194180419560813","0.009414641741635338","0.009682271727546876","0.009385837089130452","0.009456673036387805","0.009336025822785178","0.009399232775067365","0.009348305361425897","0.009381803352636515","0.009357398039847165","0.009353124681823546"
"Alabama","0.006274930410993898","0.008664725803294438","0.009304969500201748","0.007367876903762223","0.007997461741105594","0.007623573643044274","0.008419481100641715","0.008437548825019162","0.006392908512485322","0.007463446813395415","0.0059185025705926885","0.008919676492699827","0.006465656533655078","0.008426341678004158","0.006563634753643775","0.006987944838095607","0.005705430673185751","0.00537637729566265","0.007738434587064245","0.0072081080223975495","0.006070934162904261","0.007833374075238719","0.008493489216242246","0.009246702376770782","0.00925063158753511","0.008722749780153924","0.008958167390042404","0.008753767341569305","0.008882807142722769","0.008785775955624329","0.008849692016053772","0.008801770455684949","0.00881599567321853"
"Virginia","0.006318966900254824","0.00702615622914444","0.0086844414169881","0.007233024129470911","0.007818954485320837","0.006901876468484001","0.007707188626204142","0.009793995353662372","0.006467372499202079","0.0075013233804295445","0.008988311421229899","0.00930834111614086","0.006412434702381245","0.007320361590467273","0.008500889338796223","0.009516404644303462","0.008168125586864144","0.006977132737813077","0.00871666819696823","0.007487708439838558","0.005241868268131714","0.007335231405602905","0.00810313911041994","0.008343841757768334","0.009377539207193917","0.008638117554475943","0.008582786491665582","0.008500104653849741","0.00851746428791071","0.00849632640868992","0.008508511763160802","0.008500688677876612","0.008484142339972618"
"Michigan","0.005964219293153332","0.005760280017958599","0.006645529628113234","0.00597129695261303","0.005258899012946368","0.005497117832100413","0.00461815015636197","0.006480736585817229","0.00602738466244077","0.006692113642543915","0.0066937070154546125","0.005560689191352906","0.006286818153732896","0.00656447841886521","0.006791725158379273","0.007048064737255919","0.008376585488522117","0.007175884341916648","0.007494450872026568","0.008255493407515458","0.008025476686217043","0.008605624840769373","0.008073963694332031","0.00869361287442385","0.00810108014114683","0.008309356316707815","0.008161605627277526","0.008097788869576236","0.00808117795844018","0.008071263000083926","0.00806762171150591","0.008064343481468039","0.008016229408212906"
"Idaho","0.0050627567444204","0.005282130706995273","0.006461960607794309","0.007114871833966992","0.005376388684113837","0.005504498185869417","0.006654420858419072","0.007421181531465983","0.006487643924366052","0.006051090754102129","0.00644418501245282","0.005237208514806819","0.005405428673925266","0.005842575682304547","0.005886713160143477","0.006368643907879032","0.005918135794148517","0.0053810909122493054","0.006279928585165723","0.006399205808129155","0.005912054986204518","0.007254599782454747","0.006500311458197958","0.006880896788566017","0.006716240525403958","0.00676624634485497","0.0067024203843108","0.006659525757400801","0.006665370613609709","0.006666731365689024","0.006674972488443083","0.006681152848257273","0.006682932687686426"
"Pennsylvania","0.00535605184356833","0.003943201694219947","0.006888757113835556","0.00548582481026385","0.005228882832144648","0.004455252662102239","0.005836370254097866","0.005849085365991449","0.0047957533658170935","0.003576529229365255","0.00530324322821716","0.004131489814583017","0.0031389689379485255","0.004280746447694037","0.005940111368408555","0.005559747321604264","0.005746661263953755","0.005814726809757951","0.005751975576924351","0.005875910153041551","0.005604953899705587","0.005494477096121321","0.006268699682151292","0.0069352182493255905","0.006480841638917149","0.006571710860325951","0.0065167892656871","0.006472387052068525","0.006472389885398739","0.006467499386595584","0.006469551671717646","0.006469872600906939","0.006428310864886771"
