"Enteric Fermentation, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Michigan","2.4158695091572326","2.3429857725524768","2.361788442909824","2.417369806362898","2.4520191409324528","2.4422158670548115","2.341433316810516","2.2769728427996383","2.1972304501157245","2.222619488689736","2.181384222915994","2.1417173482353076","2.142763012977423","2.2251732437924048","2.199570856906532","2.232752090401147","2.3137838250317455","2.4197426618240767","2.449696889743853","2.4722248192586003","2.5454893032860038","2.541380308604446","2.612828713033713","2.6746417841486427","2.7348347202736503","2.809429347229402","2.924545736039832","3.0212210484717867","2.9725111431062707","2.970084279597345","2.996180535028203","3.0785255032458894","3.031032216842272"
"Wyoming","2.512022303081848","2.4795423732767983","2.7748483975858926","2.8916356550951203","3.144553012562116","3.095461365165623","3.127885761274882","3.318862140761909","3.3952643550938095","3.2165630621753287","3.1913284129121093","3.1432104875092985","3.0484582167369636","2.7400400894571164","2.786794450282955","2.7477317793269678","2.903454459417684","3.1848354519754807","3.0138218087307007","3.0395248396994283","2.9514307653875766","2.92481958820813","3.0195470765934793","2.9449007243620886","2.937709296805632","2.9981146801820966","3.0233184353928975","3.070928010825171","3.020330041853557","2.9782031358353165","3.0258770341001333","2.9569019713721216","2.8693449081818967"
"Oregon","2.8831453017572772","2.905880410986212","2.9230060407112304","2.9180514026699513","3.0840586469315574","3.267612909714712","3.317005355182327","3.2881274527571627","3.2238804283649873","3.1869177904434745","3.0589259173520276","2.8912190400379565","3.013163064870295","2.9674029750445032","3.0876662887910973","3.1503724171567256","3.0955628550319636","2.9119327814745333","3.053067035406465","2.8872091431154554","2.852623101201397","2.9500506388986043","2.9424241319040716","2.839815075035382","2.819515516291495","2.8811088727558665","2.9099788562435025","2.951507016418856","2.887926459412573","2.932798385996529","2.929036257583446","2.884506736811771","2.862629053843236"
"Ohio","3.019874956561571","3.0365975179194193","3.0224174307760032","2.884465065537125","2.8498551130686005","2.880792608423897","2.8838150661232813","2.7209297883021186","2.6441738680533673","2.569958392275179","2.5498081648365925","2.5503747781433335","2.5652846917336354","2.544506513142216","2.537565460359225","2.697414030929056","2.714355390252115","2.6568503828172028","2.6989606270919677","2.8104123308198266","2.7815757842205455","2.7129260075257293","2.728759922968117","2.7094994570350495","2.6854621509636454","2.711751227690837","2.7518666310450226","2.806933020291374","2.7964550428094066","2.8072191162454243","2.81382782207146","2.8008309991976708","2.8088723026158546"
"Washington","2.9053132128850843","2.960856977799675","2.979552624697838","3.0202574874742685","3.0995432446709317","2.9390607980439896","2.846889023468375","2.7473542561884576","2.7677395931055155","2.768225318980074","2.842741201488067","2.7456466876284598","2.6987711211717524","2.629819083590216","2.6262227935039473","2.520446631519324","2.612509683358607","2.705465815526714","2.6491074686267524","2.641649645207665","2.5278622950303014","2.6468232332158355","2.690041019300806","2.7272630910821265","2.6908992492858173","2.7349627796956795","2.8084134248202983","2.790401031241619","2.84305534853187","2.876473485798296","2.9166871766725477","2.820863434289674","2.77623463551666"
"Virginia","3.114621155042296","3.1341891068061147","3.192658975789647","3.2000296983790686","3.1627219212562925","3.214362108626893","3.2685419930219437","3.260195434731937","3.13651837613561","3.1245086228512746","2.95421243286326","3.035282737280629","3.0788098445518326","3.046068092342747","2.9431786595005978","3.0673635902776897","3.134707817706613","3.058665289405025","3.0149969199658937","2.8448145621179544","2.948630153463365","2.932153400290971","2.8641517773139484","3.0365925822907527","2.846189782223889","2.8145570509694684","2.80073303890898","2.8379158478141253","2.7804664897437794","2.7012126829308483","2.671950811342926","2.558706343824053","2.5613142941950096"
"Arizona","1.8414751447788333","1.8099791981201685","1.9067118877190041","1.9280069838824994","1.8891764387758925","1.8820222151936647","1.871465448438859","1.833073984750826","1.8797838164818623","1.866177646332021","1.8467527321235295","1.9098072902389207","1.9387939869668782","1.943904696147119","1.9717086076271233","2.1257589348242316","2.2256093609498193","2.310027120492495","2.364054019463998","2.438132124149872","2.2498663600988666","2.152733969359655","2.2804567512232854","2.303610281342041","2.3525697095133196","2.336319016954833","2.3686729948424508","2.487535757500332","2.4907682102946547","2.562345936952161","2.3868531177753054","2.417163645289763","2.352971864409894"
"Alabama","2.849877966010911","2.770460280543105","2.871345834813862","2.9211851897893117","3.037586355032801","3.185569190232606","3.1625147808444583","2.896154833975503","2.8443472800965286","2.7446179632129626","2.6899122618434252","2.507128294048179","2.5394056117873807","2.646148861381936","2.528548875270077","2.4762000061714136","2.391086840550248","2.391100950370094","2.299814525989369","2.3330551003071958","2.345924564199309","2.294788812204109","2.335983694258753","2.4015344694047354","2.3542794595258383","2.2566942238415195","2.323462342051564","2.401455722552584","2.4503792335500854","2.3902068139807167","2.385854831286392","2.35728094550604","2.283851744443783"
"Illinois","3.3144986328969583","3.343482117940159","3.426894538378036","3.454214877593328","3.376347279425235","3.23130355800269","3.0372911143184105","2.9279696733463387","2.873803814634744","2.897745953089421","2.859498795905681","2.7533802348991694","2.7072283462126694","2.6196477458834644","2.5515496552358266","2.6298401814361574","2.6396751862701104","2.5864357043231916","2.4811164183249574","2.4955144750230365","2.4377604285214516","2.298601365636997","2.2342455585204406","2.3406033898973955","2.3611042678155805","2.3692219860130277","2.482017541692727","2.5519869552821692","2.464108752021481","2.4946178648945403","2.374363317719507","2.286167037098498","2.1818054983291564"
"Georgia","2.5716703180995624","2.614482892922344","2.6764558208601557","2.7239280790017517","2.7731150418358195","2.829181397529671","2.768550034247048","2.6833229287302443","2.52756184651859","2.4973445753677894","2.4857824280927803","2.427690327572075","2.3924052118454386","2.509833838586143","2.458471605531048","2.404982291234743","2.3722262583801057","2.348147479777952","2.253772300270194","2.2088815951514427","2.1527434119541637","2.0921694778095747","2.1358618529745184","2.084232493679522","2.1326611339552857","2.1112842272658052","2.229410459221394","2.224265718917783","2.1495451355744355","2.171661953064545","2.2304768436794147","2.186846004645581","2.1438098157644006"
