"Livestock, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Washington","3.788128312855252","3.88526998794211","3.92203053914529","3.9947536596984388","4.177995552457189","4.036778031664075","3.951518772419886","3.8732610955414204","3.941819185133537","3.9477051355568893","4.050456130939315","3.972085212195965","3.9566166157189597","3.915921080872392","3.826081806534102","3.696236729438823","3.776151752542301","3.936236360529323","3.87101706570563","3.9059879894312575","3.747234453017443","3.957889119276953","4.06983684551763","4.1479709858795015","4.156349947359885","4.267828570237804","4.305833290802941","4.311468603594998","4.3651766693436915","4.413841863804721","4.501896840345342","4.411772576528965","4.29084992684694"
"Indiana","4.213930013306998","4.301794583555311","4.072213758354205","4.091140696695295","4.10919694441826","4.185268737477214","3.8262254919095984","3.7845794378368627","3.889566705245369","3.711085904444267","3.430886351885359","3.375237614745174","3.469693034153926","3.345374199311321","3.3253759503098177","3.485767244976311","3.437583812897921","3.720722378209854","3.540501332571373","3.447803606689196","3.794695786990037","3.7850029482730303","3.86250692350668","3.64463488883659","3.711291234747275","4.007317931484714","4.248024952726555","4.239885659747265","4.2727677428681705","4.306045941703806","4.174650173885659","4.40570835885751","4.245354596116178"
"Kentucky","5.006771353739278","5.135556531844434","5.268763711646929","5.34947344293412","5.371365981539971","5.451095714733036","5.397433856428659","5.211980125596086","5.0925144822818895","4.881207718873761","4.571893990578726","4.661751096282207","4.737709132366316","4.89623019672139","4.85858921627453","4.818188181027773","4.873475493639499","5.197235886751203","5.015713865212442","4.821407706960379","4.699441008498461","4.489825440991836","4.389631152221471","4.527131251298048","4.341839574740296","4.4028623157334055","4.5614201847486315","4.491384642164158","4.44510731062871","4.431440934378563","4.392650575235778","4.258153833015561","4.159522806681726"
"Florida","4.922895761785083","4.901607856010706","4.941328722010335","5.051603550217636","5.207732893700229","5.26167240540957","5.128443333515337","5.080512680876426","4.924051895061405","4.81571072548217","4.814717174391989","4.761146856706398","4.653395602824814","4.613232430554353","4.572669177930193","4.527966691172261","4.459190120835844","4.570062674460139","4.407699622531307","4.4111406209886805","4.379847985327171","4.339931623654476","4.3917616416413505","4.440950317044555","4.286434116249624","4.3624232486140295","4.289068894723598","4.274317360628304","4.193701166273411","4.3051805042210365","4.225060017577095","4.225901019043825","4.05557682394543"
"North Dakota","3.45134851453285","3.5612301452767468","3.6696723613492255","3.7639608143715777","4.0105469618068","4.166954336378739","4.0006566739851035","4.004697763127586","3.8047439129169556","3.984012425028795","3.92877298043063","4.066548077531894","4.062060225196777","3.920259917187468","3.726485717629088","3.744315969185895","3.7423887483566287","3.8586029339797863","3.7205408510464357","3.7004365275275344","3.6088286749194336","3.581652516225089","3.4797870026465034","3.6988435568113727","3.6216023510687405","3.4798107161400327","3.648481812918913","3.8409418556790724","3.878251282418057","3.850802495071521","3.909601340406235","3.916726759231536","3.738412715975727"
"Tennessee","4.528561347652465","4.476339938347956","4.501952962442551","4.575224922108658","4.839851893155737","4.942726239269723","4.910517891292472","4.571313431681395","4.479163714295745","4.302227098223591","4.21784071386802","4.2779918929736","4.366755960085474","4.551443504240581","4.387106850923354","4.347088191512778","4.465272144434577","4.571501862164172","4.342726614042477","3.9725244820349985","4.104808460515181","4.029192139141009","3.909841276733007","3.7074812936857695","3.593291333733974","3.6527470942988147","3.7718195701359227","3.816378445814993","3.7597670425415783","3.757580594899844","3.7152028931015386","3.717069607516676","3.6141066930216104"
"Arkansas","4.461848677562125","4.304615611373002","4.2840182521693375","4.316844904156972","4.528786286210578","4.6495247799333335","4.517253877290786","4.501396554261548","4.28196258605561","4.159411332688783","4.111602896714358","4.03056367075509","4.000033382795821","3.997774704381974","4.141895777908496","4.01397970710733","3.7854035640007426","3.791351988619709","3.8527825013844197","3.777854688340029","3.866431945242351","3.667214751688902","3.587112997642379","3.4047694411668337","3.4431105935927615","3.4803364748296652","3.629088118711671","3.6763223872279305","3.7039901813752634","3.7218268347630024","3.647072311738026","3.6842001194855913","3.5779305407528876"
"Arizona","2.6345278233560303","2.608488594594986","2.708781688159037","2.743282225641841","2.8211181991911807","2.845092869076498","2.87968586430486","2.8721547864544013","2.920833321814131","2.994949032166542","2.9317090900723217","3.117383311969725","3.1535926108212298","3.234432659459929","3.161123080042873","3.3861034933243923","3.4903657351571047","3.704379829987007","3.7566400518847596","3.828950904364147","3.4726282478760133","3.2991547082935044","3.449719969386903","3.414389512379396","3.4489941824976738","3.4068071031496414","3.4233239271112543","3.6241682738109073","3.629157643489961","3.6908701451842827","3.487708959768784","3.419182818941649","3.3314849675476146"
"Oregon","3.277826633655207","3.303062792547455","3.3285523117816016","3.3077680387303836","3.488822767275068","3.6831606480819583","3.716971099430057","3.6907103888152775","3.615501544728293","3.5964486594816902","3.467710260337853","3.3181387429021534","3.4912252312466765","3.496894773970972","3.623393459087457","3.6928241742627703","3.6347466992353086","3.4664709767103554","3.610211441500907","3.4512367001687707","3.393036448991576","3.537917110204401","3.353051305114896","3.2216331588326916","3.222596211137406","3.3011569096249196","3.3385321511334713","3.3801153181490955","3.3535932128697836","3.338644231684939","3.3571951221605665","3.310108237734432","3.298003144625145"
"Georgia","3.591976962065132","3.6591952292411998","3.7324709663051774","3.827152229527475","3.88712393264495","3.903741227182854","3.862386565012437","3.8069656042067828","3.7340689596814958","3.7044964046621702","3.639079547117235","3.585414441430848","3.550947324040676","3.6235733301057973","3.5663195464568576","3.515693862365201","3.452109581768919","3.4726032073242408","3.332800471906423","3.258463978880869","3.184799499720504","3.144980272870816","3.193335201484091","3.137117263042394","3.215685482163491","3.230694942711463","3.341184158702818","3.329394920094249","3.269103779648992","3.306593547250282","3.3221531122870083","3.262709564082728","3.2217431582147524"
