"Agriculture Sector Fuel Combustion, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Oklahoma","0.7569201949238767","0.7354574487874905","1.1010053216305216","1.0076089205951706","1.032122778921792","1.145752983880717","1.1607893327717267","1.1470063548642773","1.0907281900062822","0.9447559130665257","0.966848826977545","0.8799378453571451","0.9544853427714829","0.8411952991843078","1.0473640003184517","1.0429025545076533","1.2415680229751846","1.106422778322394","0.9063527516425206","0.8867215979101796","0.8230691296278569","0.6156521768556152","0.7089381154116767","0.6193202893045213","0.6620153898085723","0.3916536324437375","0.5837835537181346","0.6282049628357612","0.3388075662733559","0.3424307149801685","0.3424212585352591","0.3497390456316661","0.3457389873951511"
"Louisiana","0.8446346747290879","0.8532265814620476","0.6941229431340659","0.7649230442696338","0.9162025280842361","0.888593423508056","0.785913861126601","0.730124453536473","0.667626717849459","0.852169564562131","0.8278332293432236","0.677463288286044","0.7615795284879076","0.6649255466063172","0.6227403532482761","0.8432640525059272","0.8548217755115788","0.8096498302934299","0.8250165825856142","0.7651012853685067","0.7297651072316513","0.8028758945968157","0.7863938893776624","0.7036158112959422","0.7367070499091782","0.46376590886595487","0.5001435081951741","0.4861327269100053","0.5947432599072907","0.4715766130968542","0.30018517798388483","0.3058944920019945","0.3023176853719395"
"South Carolina","0.44652764118958693","0.5880968273442966","0.3936625729744088","0.28980442444963633","0.26360885928584415","0.2727795172323014","0.34416282106830537","0.31405315532959444","0.2691161701078427","0.25530417779648723","0.2604860916492133","0.3341035225721637","0.3487417561679142","0.37498231523597597","0.4468687717269803","0.5620283597173413","0.48536673272804065","0.3934201624762481","0.3115396441238353","0.2398697937698826","0.19222665305221787","0.22765769007957476","0.2140277791271068","0.19612517262624607","0.21537374514725569","0.17826838625076702","0.21937049271807882","0.20813590084004369","0.2481406127257789","0.28322429679514183","0.29623896253568716","0.3010228136480864","0.2972271836908823"
"Virginia","0.5289611608927445","0.5241877810608222","0.5786188191917729","0.6709719471586993","0.5721190000794183","0.5837260989154289","0.5978923892905986","0.5660513445434714","0.528863960475399","0.58420741325069","0.5491649368715924","0.5322598289423582","0.5448002016960669","0.6382563791021785","0.7336910318950031","0.7821361911998937","0.8123005693461494","0.6698605193028689","0.5377178684316801","0.4245828862210397","0.3798335804857091","0.4181820187168587","0.41304854267810365","0.3983714589192","0.4115276230030974","0.3275665475323699","0.348498038476026","0.29320496399547863","0.2663536369650586","0.2539507719681645","0.2322427952747698","0.2364915697122177","0.23437233375956948"
"Vermont","0.09211621552666087","0.13182087489628821","0.12528861680348027","0.1063336743766443","0.07997245833298293","0.0768424102685918","0.07743767392130345","0.0827853340036066","0.08216690630250052","0.09826832079172268","0.09471745869635517","0.09510626506892039","0.09170927376462014","0.10548420036422076","0.13950857274665013","0.1482737346110393","0.15222339107259353","0.1388151053205241","0.10582492071334795","0.10697329671341281","0.11992780402079248","0.14634138908068156","0.12314443915843178","0.10730349617361275","0.11316838053428813","0.10005173450047991","0.15607288537891517","0.18576882535642983","0.16892470069974544","0.1884516251910154","0.20981923939179908","0.2132466241180207","0.21063893013285104"
"Maryland","0.29065801350562936","0.27791499865286906","0.26855596389502095","0.28844558346343546","0.2682499906142919","0.32023681771897805","0.31314000012264065","0.2989907747124725","0.28269914851751077","0.33445135157521116","0.31504964119517365","0.2698749357796823","0.2352523825011977","0.3161795483853837","0.33954710240542313","0.3637750137894058","0.3903531199844246","0.30609035341494584","0.24052475317852318","0.1985445231546027","0.27685095959972267","0.2874530575345384","0.2945487309024383","0.2585385973974114","0.25814440494506424","0.15012590903963507","0.12537081851487636","0.13557924111070138","0.12988001495366694","0.1733332819462367","0.1583213321166763","0.16158718859631233","0.1597717830994637"
"Wyoming","0.28886694543301555","0.32194879240175256","0.31555412099202834","0.2691924729113177","0.2859943708920622","0.25116232391248045","0.2387804334601185","0.28057286513006474","0.1933433759204543","0.23252623455045038","0.23372814024889654","0.2279054781421404","0.20626759345464105","0.16963851405284924","0.2259757065901855","0.21092839753324413","0.22170234511690762","0.22885655691383933","0.21521319804645853","0.2415325086274761","0.1793097677863813","0.1908983491688962","0.18041849933758422","0.18396032031318285","0.19905004752282762","0.20419201488873243","0.143778880970364","0.14635658466751994","0.15692380488989574","0.16691418836315655","0.15480258545089995","0.15737704194997312","0.15542361648316974"
"Utah","0.14715325766869078","0.17843299138257954","0.21044901462926902","0.2383078987670619","0.2314886259113413","0.22809986385072925","0.22880603349039455","0.2815111161309231","0.26276206688235704","0.17727792574754672","0.18427482847646826","0.20498554247542472","0.18990301381131838","0.3003241117101147","0.20511702142633592","0.20629434139907665","0.21343666300637032","0.20231148967793985","0.14165133512949815","0.20278708821036048","0.1216325936424806","0.13393053567062216","0.13878832280885584","0.146644502007804","0.14737628094364733","0.12836257592171899","0.1182113313870247","0.14454598127353332","0.1507693194407342","0.15725808974021396","0.12693072947741954","0.12916609551427677","0.12759870012769195"
"New Mexico","0.15856952596828913","0.19953083399978352","0.25849412471606653","0.23264380536983773","0.2610684061755882","0.25904060067405493","0.2602187508600535","0.2288792969315454","0.25602638514278014","0.2976934862569696","0.2000021711402169","0.24219894377516993","0.2358095431726249","0.47120621348874686","0.4277755524201768","0.28070551041298014","0.3599609660856271","0.5097791845149566","0.27653794481461674","0.23120781632522558","0.3178336222751951","0.27234175095765345","0.3021580181858046","0.31767145963121013","0.25759362908090394","0.20446068172087542","0.12927697731211993","0.11176930904119443","0.10466315687468153","0.11040592497787564","0.09518815754492815","0.09713453926222627","0.09602830575516097"
"Delaware","0.08896326044143649","0.1058979363262487","0.07047434069345916","0.05747741955915327","0.06313384690715054","0.04692404144076954","0.06948816602134128","0.06742122300333327","0.08922666284043132","0.08587405044151346","0.08781946479534884","0.07993756479377047","0.09763824350884888","0.09370549039674539","0.0969169083577049","0.11139634535774037","0.10085443073400459","0.10272958658022237","0.06604650570008544","0.09923372099063939","0.13870468933645946","0.16032913808658297","0.1411470698830325","0.1355499161754799","0.13739790899735313","0.10527641890504807","0.1011740022543796","0.09286971778613859","0.09031617040223625","0.10026314112277117","0.0844778519360996","0.08612883272539403","0.08507465043569719"
"Nevada","0.07654741824700753","0.08293987548340907","0.07122185896281763","0.07656869806775068","0.10773271659335373","0.06471884236916925","0.08316512037937836","0.0856354289520884","0.08291448877772348","0.07466692655467372","0.0784266791121002","0.07471137810460522","0.07341909857642932","0.05917742700835118","0.08328707665193195","0.058121881700286676","0.06205890977495395","0.06901528673056267","0.05198462556696979","0.09852559130508219","0.108643224472045","0.10992172657363398","0.09463551205803714","0.07231188066287891","0.06619954969177616","0.04799154561388409","0.05215922915358386","0.0609731682364997","0.07467313103039626","0.07137386630865704","0.07868586720967259","0.07996904492704507","0.07896053380032712"
